plotID,treeID,DBH
1,1,28.9
1,2,23.8
1,3,25.7
1,4,25.1
1,5,42.6
1,6,28.8
1,7,36
1,8,26.2
1,9,48.7
1,10,44.3
10,1,34
10,2,32.7
10,3,13.2
10,4,14.9
10,5,31.1
10,6,29.6
10,7,30.4
10,8,22.6
10,9,31.8
10,10,36.2
11,1,42.1
11,2,30.4
11,3,37.2
11,4,27.7
11,5,35
11,6,41.3
11,7,44
11,8,37.5
11,9,32.7
11,10,23.6
12,1,25.1
12,2,31.4
12,3,15.1
12,4,35.7
12,5,26.1
12,6,12.2
12,7,31.3
12,8,41.7
12,9,31.5
12,10,31.6
13,1,34
13,2,36.2
13,3,17
13,4,16.5
13,5,25.2
13,6,22.7
13,7,27.7
13,8,27.5
13,9,17.6
13,10,34.5
16,1,18.5
16,2,35.3
16,3,19.3
16,4,28.7
16,5,27.7
16,6,21
16,7,26.4
16,8,13
16,9,32.4
16,10,35.6
17,1,26.6
17,2,23.5
17,3,35.4
17,4,29.7
17,5,41.6
17,6,35.6
17,7,32.4
17,8,25.2
17,9,24.2
17,10,42.4
18,1,14.5
18,2,9.4
18,3,22.7
18,4,30.9
18,5,37.3
18,6,19.1
18,7,21.5
18,8,22.4
18,9,32.9
18,10,20.7
19,1,35.9
19,2,15.9
19,3,27.1
19,4,20.6
19,5,19.4
19,6,25.9
19,7,25.2
19,8,18.6
19,9,22.9
19,10,26.4
2,1,38.7
2,2,35.2
2,3,19.8
2,4,30.8
2,5,15
2,6,12.2
2,7,39.6
2,8,40.4
2,9,34.4
2,10,36.1
21,1,42.1
21,2,35.2
21,3,30.5
21,4,31.9
21,5,33.4
21,6,21
21,7,45.9
21,8,32.9
21,9,29.7
21,10,23.5
22,1,29.9
22,2,19.9
22,3,28.4
22,4,21
22,5,37.3
22,6,31.9
22,7,39.5
22,8,39.7
22,9,36.9
22,10,35.9
23,1,30.7
23,2,35.8
23,3,31.6
23,4,23.6
23,5,33.4
23,6,32.4
23,7,39.9
23,8,29.7
23,9,25.5
23,10,40
3,1,34.4
3,2,25.8
3,3,31
3,4,31
3,6,25.6
3,7,19.7
3,8,54.3
3,9,30
3,10,37.9
4,1,29.8
4,2,35.2
4,3,28.1
4,4,23.5
4,5,33.5
4,6,18.9
4,7,32.3
4,8,38
4,9,21.5
4,10,20.5
5,1,34.3
5,2,25.4
5,3,25.4
5,5,35.4
5,6,25.4
5,7,31.9
5,8,23.7
5,9,32.3
5,10,31.8
6,1,8.4
6,2,35.5
6,4,24.5
6,5,25.9
6,6,36
6,7,41
6,8,23.4
6,9,17.6
6,10,18.4
7,1,25.7
7,2,24.5
7,3,31.8
7,4,33.5
7,5,31.6
7,6,25.7
7,7,21.8
7,8,35
7,9,37.9
7,10,42.3
8,1,31.4
8,2,29.7
8,3,25.2
8,4,35.4
8,5,18.2
8,6,32.4
8,7,38.9
8,8,22
8,9,24.2
8,10,41.9
9,1,24.9
9,2,26.3
9,3,21.2
9,4,42.3
9,5,23.7
9,6,31.5
9,7,46.4
9,8,38.4
9,9,30.1
9,10,31.7
1,11,17.4
1,12,15
1,19,32
1,21,20.8
1,23,22.5
1,24,15.6
1,25,17
1,26,13
1,27,32.7
1,29,19.4
1,30,42.5
1,32,50.5
1,33,10.8
1,35,14.9
1,36,20.1
1,37,11.8
2,11,7
2,13,7.3
2,14,6.2
2,15,10.7
2,16,49.9
2,17,31.4
2,19,6.8
2,21,32.9
2,22,17.4
2,23,18
2,24,9.9
2,25,19.4
2,26,14.4
2,29,29.7
2,30,23
2,31,40.5
2,32,21.9
2,33,8.2
2,34,8.2
2,35,30
2,36,13.7
2,38,6
2,39,37.5
2,40,5
3,12,22.7
3,13,6.9
3,14,10.5
3,15,9.4
3,16,21.3
3,17,26.3
3,18,8.8
3,19,7
3,21,16.5
3,22,33.4
3,23,5.4
3,25,35.4
3,26,15.6
3,27,46.4
4,11,6.5
4,12,23
4,13,28.7
4,16,7.5
4,17,10.8
4,18,32.4
4,19,24
4,20,14.5
4,21,29.4
4,22,9.8
4,23,12.8
4,24,11.5
4,25,38.6
5,11,37.3
5,12,15
5,13,15.2
5,14,27.9
5,15,17.5
5,16,25.4
5,17,30.1
5,18,9.8
5,19,30.5
5,20,19.3
6,11,5.1
6,12,10
6,14,6.5
6,15,6
6,16,8.5
6,17,28.1
6,18,22.7
6,20,8.5
6,21,8.7
6,23,10.4
6,24,31.7
6,25,6.5
6,26,22.4
6,27,13
6,28,13.1
6,29,8.5
6,30,21.1
6,32,12.7
6,34,28.9
6,35,6.2
6,37,8
6,38,7.7
6,39,10
6,41,19.5
6,42,7.4
6,43,17.8
6,45,22.6
7,11,8.7
7,12,36.8
7,13,18.6
7,16,12
7,17,6.3
7,18,31.6
7,19,22.2
7,20,15.4
7,21,7.5
7,22,16.7
7,27,18.3
7,28,20.8
8,11,16.5
8,12,16
8,13,26.9
8,14,25.1
8,15,5.1
8,16,14.2
8,18,30.4
8,20,19.2
8,21,41.3
8,22,24.3
9,11,7.4
9,12,9.8
9,13,16.2
9,14,5.1
9,15,10.2
9,21,22.4
9,22,14.5
9,23,25
9,24,14.2
10,11,26.9
10,12,29.5
10,13,15.6
10,14,11.1
10,15,36.8
10,17,7.3
10,18,17.5
10,19,34.8
10,21,13.1
10,22,27
10,23,19.7
10,24,15.2
10,25,21.6
10,26,14
10,27,16.6
11,11,33
11,14,27.9
11,15,28.9
11,16,32.5
11,17,14.3
11,18,31.4
11,19,37.6
11,21,16.1
11,22,17.2
11,23,21.4
11,24,23.9
11,26,36.5
11,27,30
11,29,19.8
11,30,27
11,31,38.6
12,11,24.11
12,13,16.2
12,14,29.1
12,15,18.2
12,16,22.4
12,17,37.7
12,20,9.7
12,21,11.4
12,22,19.9
12,23,11.9
12,24,24.5
12,25,13.9
12,26,9
12,27,9.2
13,11,26
13,13,16.5
13,14,16.7
13,15,18.1
13,19,14.5
13,20,20.5
13,21,22.4
13,23,21.5
13,24,9
13,25,25.6
13,28,16.3
13,29,30.5
13,30,32
13,31,15.7
13,32,19.5
13,33,21.8
