plotID,treeID,DBH
31,9,60
31,8,40.7
31,7,43.6
31,6,32.3
31,4,33.3
31,1,36.9
31,10,32.6
31,11,28.5
31,13,29
31,12,27.6
31,5,19.5
31,3,23.1
31,2,19.5
31,20,54.6
31,19,34.8
31,18,34.5
31,17,38.8
31,16,38.6
31,15,35.3
31,23,34.6
31,25,34.4
31,24,35.1
31,22,32.6
31,21,40.3
31,14,44.6
35,22,16.1
35,1,42.3
35,2,50
35,4,22.6
35,5,30.6
35,10,39.6
35,9,37.9
35,8,36.4
35,6,45.3
35,11,28.8
35,23,13
35,12,32.9
35,3,41
35,7,33.6
35,13,37.8
35,14,42.7
35,15,20.2
35,16,29.5
35,17,32.6
35,19,25.2
35,18,32.8
35,20,37.8
35,21,36.5
39,27,18
39,28,22.7
39,29,35.6
39,6,7.7
39,9,15.3
39,8,9.5
39,38,5.5
39,37,8.2
39,39,5
39,11,22.7
39,40,9.2
39,12,12.1
39,41,9.9
39,10,18.5
39,34,38.8
39,35,34.6
39,42,19.9
39,36,34.3
39,7,10.5
39,43,6.8
39,16,14
39,17,34
39,44,9.3
39,33,31.3
39,32,30.6
39,31,31.4
39,23,25.7
39,22,38.3
39,3,18.6
39,4,9
39,5,7.8
39,2,20.9
39,48,8.8
39,15,18.1
39,14,21
39,30,32.5
39,21,15.8
39,1,8.1
39,45,14.4
39,26,33.9
39,25,40.9
39,46,19.8
39,24,38.7
39,47,18
39,18,22.8
39,19,12.5
39,20,21.3
39,13,15.1
61,17,8.1
61,3,33.8
61,2,33.9
61,19,15.6
61,1,36.1
61,18,18.5
61,10,32.3
61,9,36.6
61,7,28.2
61,8,32.1
61,6,32.6
61,4,39.5
61,12,25.8
61,13,47.8
61,14,59.2
61,5,25.6
61,11,38.7
61,15,33.4
61,16,35
65,18,29.5
65,17,32.6
65,16,16.9
65,15,43.5
65,14,45.8
65,13,36.5
65,12,44.9
65,9,31
65,10,22.4
65,11,24.6
65,19,17.5
65,8,49
65,7,50.4
65,5,37.3
65,6,38.5
65,1,36.6
65,3,47
65,4,35.7
65,2,37.8
65,20,15.3
87,10,35
87,9,38.6
87,8,33
87,7,18.6
87,6,19.2
87,1,33.1
87,5,36.3
87,3,27.1
87,4,42.9
87,2,36
87,21,12.7
87,12,30.2
87,13,27
87,17,31.8
87,16,43
87,15,36.3
87,14,48.7
87,18,40.2
87,19,25.1
87,20,32.3
