treeID,DBH
1,40
10,34
102,17
103,18
104,14
105,15
106,20.5
108,15.5
109,13
11,38
12,40
121,19.5
122,22.5
123,13
124,9.5
125,11
126,12
127,16
128,12.5
13,48.5
130,16
131,9.5
132,22.5
133,9
134,10
135,8.5
137,12.5
138,20
139,12.5
140,16
141,10
142,10
143,9.5
15,27
16,19.5
17,34
21,16.5
22,40.5
23,29.5
28,11.5
29,18
3,16.5
30,18.5
31,20.5
32,18
33,13.5
34,15.5
35,29.5
36,16
37,47
38,18
39,9.5
40,15
41,24
42,14
43,16.5
44,15
46,18
47,18.5
5,14.5
50,13
51,16.5
52,52
54,29
55,19
56,28
57,21
58,55
59,19
60,13.5
61,13
62,17.5
64,29
65,25
7,55
74,19.5
75,14.5
76,10.5
77,19
78,13
79,19.5
8,45
80,15
81,18
82,13
83,15
84,17.5
85,14.5
86,17.5
87,16
88,39.5
89,20
9,15
90,11.5
91,10.5
92,14.6
93,15.5
94,15
98,17
145,11
147,11
152,11
155,9
156,8.5
157,14.5
166,7
167,13.5
168,7
169,13
170,7.5
171,7
172,8
173,7
176,7.5
180,13.5
205,15
206,10
207,7.2
209,12
210,14.5
211,10
212,12.5
213,10
219,8.5
223,9.5
