plotID,treeID,DBH
1,130,43.5
1,131,44
1,132,25.5
1,133,30.5
1,134,28.5
1,135,29.25
1,136,33.5
1,137,37.5
1,138,42.75
1,139,37
1,140,27
1,141,10.5
1,142,12
1,143,33.5
1,144,44.5
1,145,26
1,146,71
1,147,87.5
1,148,131
1,149,92
1,150,16.5
1,151,17.5
1,152,16
1,153,26.5
1,154,23
1,155,15
1,156,21
1,157,17.5
1,158,31
1,160,27
1,161,27
1,162,20.5
1,163,26
1,164,34
1,165,73
1,166,27.5
1,77,48
1,78,13.5
1,79,55.5
1,80,12
1,81,22
1,82,53.5
1,83,66.5
1,84,55.5
1,85,49.75
1,86,54.5
1,87,39
1,88,32
1,89,68.5
1,90,75.5
1,91,52.5
1,92,50.5
1,93,23
1,94,12.5
1,95,22
1,96,19
1,97,16.5
1,98,74
1,99,15.5
1,100,77
1,101,24
1,102,30
1,103,15.5
1,104,19.5
1,105,19.5
1,106,82.5
1,107,72
1,108,19.5
1,109,27.5
1,110,21
1,111,15
1,112,27.5
1,113,18.5
1,114,60
1,115,44
1,116,82.5
1,117,75
1,118,58.5
1,120,55
1,121,15
1,122,18.5
1,123,19.5
1,124,73.5
1,125,18
1,126,73.5
1,127,11
1,128,15
1,129,68.5
1,37,71.75
1,38,64
1,39,39
1,40,11
1,41,66
1,42,83.5
1,43,84.5
1,44,49
1,45,34.5
1,46,30
1,47,15.5
1,48,10.5
1,49,75.5
1,50,68.5
1,51,13.5
1,52,39.5
1,53,76
1,54,38.5
1,55,26
1,56,11
1,57,14.5
1,58,19.5
1,59,72.5
1,60,18
1,61,75
1,62,71
1,63,11
1,64,84
1,65,19.75
1,66,47
1,67,12.5
1,68,33
1,69,38
1,70,100
1,71,11
1,72,20.5
1,73,20
1,74,25.75
1,75,27
1,76,13
1,0,19.5
1,1,39.25
1,2,32.5
1,3,24.5
1,4,35
1,5,16
1,6,21
1,7,82
1,8,49.5
1,9,82.5
1,10,124.5
1,11,26
1,12,65.5
1,13,114.25
1,14,39.5
1,15,13.4
1,16,8.75
1,17,47.15
1,18,38.8
1,19,12
1,20,22.5
1,21,29.9
1,22,46.5
1,23,15.25
1,24,11.5
1,25,25.5
1,26,19.5
1,27,24.5
1,28,11.5
1,29,15.5
1,30,30.5
1,31,133
1,32,97
1,33,106
1,34,99.5
1,35,130
1,36,127.5
